Site,LABNR,C14AGE,C14STD,Lat,Lon
CASTRO MARIM,OxA 5441*,4525,60,37.22,-7.45
LARRENKE NORTE,0,4540,100,42.68,-2.8
MONTE DA TUMBA,UGRA 172,4540,90,38.28,-8.23
JUROMENHA 1,Beta 169263,4540,100,38.74,-7.23
LECEIA,ICEN 316,4520,70,38.73,-9.28
JUROMENHA 1,Wk 18488,4547,35,38.74,-7.23
LECEIA,ICEN 312,4530,100,38.73,-9.28
SAN JUAN ANTE PORTAM LATINAM,Ua 10355,4520,75,42.55,-2.56
SAN JUAN ANTE PORTAM LATINAM,GrA 5428*,4520,50,42.55,-2.56
BURACO DA MOURA DE SÃO ROMÃO,ICEN 1259,4530,100,40.4,-7.68
ETXEGARATE,0,4540,40,42.95,-2.23
JUROMENHA 1,Wk 18467,4538,42,38.74,-7.23
LIBRILLA- RAMBLA DE,SUA 2037,4520,90,37.87,-1.33
PERDIGOES,Beta 330092,4530,40,38.44,-7.55
PEDRAS GRANDES,Beta 234136,4530,40,38.8,-8.67
SALA 1,ICEN 445,4490,80,38.11,-7.64
SOBREIRA DE CIMA 4,Sac 2256,4520,35,37.75,-7.82
ALTO DE LA HUESERA,Beta 301219,4520,30,42.57,-2.57
BURACA GRANDE,Gif 9942,4530,20,40.01,-8.54
AMEAL VI,ICEN 909,4545,45,40.44,-7.95
CASTENAIRAS / CASTONAIRAS,GrA 9307*,4540,50,40.83,-7.76
SOBREIRA DE CIMA 1,Sac 2260,4530,50,37.75,-7.82
SAN JUAN ANTE PORTAM LATINAM 5,0,4520,50,42.55,-2.56
ROMEA- MONTE DA,Ua 20004*,4520,50,42.65,-8.14
REGO DA MURTA 1,Beta 190001*,4520,40,39.77,-8.37
POÇO VELHO,Beta 244394,4520,40,38.7,-9.42
SAN JUAN ANTE PORTAM LATINAM,GrN 21770,4510,40,42.55,-2.56
PAPA UVAS,CSIC 1881,4503,35,37.27,-7.04
ESCOURAL- GRUTA DO,Lv 1922,4500,60,38.6,-8.24
CASTENAIRAS / CASTONAIRAS,OxA 7432*,4510,45,40.83,-7.76
LOS VILLARES DE ALGANE,GrN 27023,4510,50,36.69,-4.79
POÇO VELHO,Beta 245138,4500,40,38.7,-9.42
TERRERA VENTURA,KN 1794,4490,60,37.05,-2.4
REGO DA MURTA 1,Beta 189998*,4490,60,39.77,-8.37
SOBREIRA DE CIMA 1 ,Sac 2261,4500,70,37.75,-7.82
ERAS DEL ALCAZAR,Ua 26017,4495,40,38.01,-3.37
PAPA UVAS,CSIC 812,4480,70,37.27,-7.04
ALQUEVES,ICEN 64,4490,50,40.2,-8.45
VALDAVARA,Beta 235727*,4490,40,42.84,-7.14
VALE DE LOBOS,Beta 220075,4490,40,38.79,-9.28
CARMONA,UNK 1,4480,50,37.47,-6.04
SAN CRISTOBAL,0,4470,70,42.6,-2.62
PAPA UVAS,CSIC 811,4470,70,37.27,-7.04
PRAALATA,0,4470,70,42.96,-2.21
SAO BRAS I,ICEN 43,4480,60,37.9,-7.62
ROCHE FORTE 2,TO 357*,4480,60,39.18,-9.09
ALMEIDA- COV√O D' / EIRA PEDRINHA,Beta 134363*,4480,60,40.12,-8.49
ERAS DEL ALCAZAR,Ua 229720*,4470,70,38.01,-3.37
SENHORA DA OUVIDA,CSIC 1247,4475,46,40.95,-7.9
SAN JUAN ANTE PORTAM LATINAM,Ua 10356*,4460,70,42.55,-2.56
ESCOURAL- GRUTA DO,Lv 1924,4460,70,38.6,-8.24
CARRASCA,UBAR 537,4460,70,39.09,-9.21
CASTENAIRAS / CASTONAIRAS,OxA 7434*,4470,45,40.83,-7.76
MOCISSOS,KIA 31370*,4509,29,38.35,-8.06
MANDUBI-ZELAIA,0,4460,50,43.09,-2.25
DOMBATE,CSIC 893,4450,70,43.19,-8.97
EL PRADO,Beta 327660,4500,30,38.62,-1.32
VIERA,Beta 353820,4090,30,37.02,-4.55
VIERA,Beta 353822,3580,30,37.02,-4.55
PONTA DA PASSADEIRA,Beta 160055,4450,50,38.68,-9.04
MOCISSOS,KIA 30549*,4485,25,38.35,-8.06
DOMBATE,CSIC 942,4480,25,43.19,-8.97
MONTE CANELAS 1,OxA 5514*,4420,60,37.15,-8.15
ESCOURAL- GRUTA DO,Lv 1925,4420,60,38.6,-8.24
ERAS DEL ALCAZAR,Beta 229719*,4420,60,38.01,-3.37
LIBRILLA- RAMBLA DE,SUA 2040,4500,100,37.87,-1.33
SALA 1,ICEN 444,4490,100,38.11,-7.64
BURACA DOS MOUROS,ETH 4498*,4450,85,39.34,-8.89
PALA DA VELLA,GrA 1021,4500,35,42.49,-6.84
KURTZEBIDE,I 10828,4445,95,42.94,-2.75
PARAJE DE MONTE BAJO,Beta 233951*,4480,40,36.39,-5.73
MEROUCOS- ORCA DE,GrA 13687*,4480,40,40.92,-7.72
LOS CASTILLEJOS,Beta 135665*,4480,40,37.33,-3.97
HORTA,Beta 194313,4480,40,39.23,-7.68
CHABOLA DE LA HECHICERA,Beta 288934,4480,40,42.57,-2.55
DOMBATE,CSIC 964,4470,30,43.19,-8.97
PENA LARGA,0,4470,40,42.62,-2.51
SOBREIRA DE CIMA,Beta 233283,4470,40,37.75,-7.82
LOS MILLARES- POBLADO,Beta 124524,4420,70,36.97,-2.52
CERCA DO ZAMBUJAL,TO 2090*,4420,70,38.18,-8.73
ARRUDA- CABEÇO DE,Sac 1784,4460,45,39.06,-9.29
CARRIL DE CALDEROS,KIK 2749/KIA 20890*,4455,43,37.68,-1.69
PARAJE DE MONTE BAJO,Beta 233952*,4450,40,36.39,-5.73
DOMBATE,CSIC 940,4450,25,43.19,-8.97
JUROMENHA 1,Beta 169264,4450,40,38.74,-7.23
TRIGACHE 4,Beta 228583,4450,40,38.82,-9.21
TOURÃO DA RAMILA,Beta 137944,4450,40,41.08,-7.21
ZAMBUJAL,KIA 27565,4445,31,39.07,-9.29
CHABOLA DE LA HECHICERA,Beta 288937,4440,40,42.57,-2.55
SAN JUAN ANTE PORTAM LATINAM,GrN 21771,4440,40,42.55,-2.56
CASTENAIRAS / CASTONAIRAS,GrA 9308*,4440,50,40.83,-7.76
LECEIA,ICEN 1161,4440,50,38.73,-9.28
O PRAZO,GrA 19081*,4440,50,41.07,-7.24
SAN BLAS,Beta 169546,4420,40,38.55,-7.29
GRUTA DOS OSSOS,Beta 189996*,4430,40,39.66,-8.42
CHABOLA DE LA HECHICERA,Beta 288939,4430,40,42.57,-2.55
PERDIGOES,Beta 289265*,4430,40,38.44,-7.55
DOMBATE,UtC 3202,4430,50,43.19,-8.97
LECEIA,ICEN 1159,4430,50,38.73,-9.28
JOU'L LLOBU,OxA 10173*,4430,50,43.34,-4.92
ALGAR DO BOM SANTO,Beta 120047*,4430,50,39.04,-9.02
DOMBATE,CSIC 941,4430,25,43.19,-8.97
PAPA UVAS,ICEN 1069,4420,90,37.27,-7.04
MADORRAS 1,GrA 885*,4420,40,41.3,-7.61
LAPA DO FUMO,ICEN 240,4420,45,38.43,-8.4
PERDIGOES,Beta 285099*,4420,40,38.44,-7.55
MONTE DOS REMEDIOS,Ua 33144*,4420,45,42.27,-8.76
BOLA DA CERA,ICEN 67,4420,45,39.39,-7.36
CABEZO JURE,Ua 39867*,4415,31,37.56,-7.09
CHABOLA DE LA HECHICERA,Beta 307797,4420,30,42.57,-2.55
ERAS DEL ALCAZAR,Ua 34705*,4415,35,38.01,-3.37
FOTENLA,CSIC 417,4410,50,42.3,-8.67
CASULLO,CNA 346*,4410,50,37.59,-6.5
LOS MILLARES- POBLADO,Beta 124532*,4410,60,36.97,-2.52
TERRERA VENTURA,I 7442,4415,95,37.05,-2.4
SANTA MARGARIDA 2- HERDADE DE,Beta 153911*,4410,60,38.43,-7.43
COSTA DO PEREIRO,Sac 1744,4410,60,39.58,-8.55
BORRACHEIRA (o SERRA DA VILA),CAIS 8455,4420,25,39.09,-9.26
CASTANHEIRO DO VENTO,Ua 22456*,4400,65,41.06,-7.32
ESTRIA,Beta 228578,4410,40,38.77,-9.27
ARRUDA- ANTA DE,Beta 229584,4410,40,38.99,-9.05
KOBAEDERRA,OxA 6960*,4405,55,43.34,-2.62
VILLARICOS,IRPA 1113,4400,50,37.25,-1.78
DOMBATE,CSIC 939,4410,25,43.19,-8.97
OLELAS,ICEN 879,4400,45,38.45,-9.15
ORCA DA PENELA 1,GrA 9578*,4400,50,40.51,-8.02
REGO DA MURTA 1,Beta 190003*,4400,40,39.77,-8.37
ARANTZAZU,Ua 11849*,4390,55,42.98,-2.4
MONTE DA TUMBA,ICEN 114,4390,50,38.28,-8.23
COTOGRANDE 5,GrN 19566,4390,50,42.22,-8.64
YURKINAS 2- CUEVA DE LAS,Beta 148054,4390,40,42.63,-2.7
FORNO DOS MOUROS 7,Ua 21688*,4390,45,43.67,-7.74
PENEDOS GRANDES,CSIC 1831,4396,35,41.85,-8.39
CASTENAIRAS / CASTONAIRAS,GrA 9313*,4380,50,40.83,-7.76
MOURA- COVA DA,Sac 1788,4380,50,39.09,-9.24
ALTO DE LA HUESERA,Beta 301225,4390,30,42.57,-2.57
EL SOTILLO,Beta 299304,4390,30,42.57,-2.62
PERDIGOES,Beta 350352,4390,30,38.44,-7.55
CHABOLA DE LA HECHICERA,Beta 288933,4380,40,42.57,-2.55
CABEZO JURE,Ua 35665*,4370,35,37.56,-7.09
FETEIRA,Sac 1562,4370,45,39.28,-9.27
BARROCAL ALTO,ICEN 414,4370,45,41.27,-6.55
DOMBATE,CSIC 963,4380,35,43.19,-8.97
CANTARRANAS/ LAS VINAS,Sac 1574,4430,80,36.62,-6.27
ILLETA DELS BANYETS,Beta 152951,4370,40,38.43,-0.38
REGO DA MURTA 1,Beta 190002*,4370,40,39.77,-8.37
PERDIGOES,Beta 289263*,4370,40,38.44,-7.55
ETXEGARATE,0,4365,40,42.95,-2.23
YURKINAS 2- CUEVA DE LAS,Beta 137896,4360,40,42.63,-2.7
LARRENKE NORTE,I 14738,4410,100,42.68,-2.8
ESTRADA DE ANSIAO,Sac 1557,4400,100,39.92,-8.44
SAN BLAS,Beta 178653,4340,40,38.55,-7.29
PRAIA DAS MAÇAS,OxA 5509*,4410,75,38.82,-9.46
TRIGACHE 2,Beta 239755,4340,40,38.81,-9.21
BURACO DA PALA,ICEN 598,4390,70,41.46,-7.29
TORCA L'ARROYU,UBAR 803,4390,70,43.41,-5.84
MONTE DA TUMBA,ICEN 116,4400,80,38.28,-8.23
LA GARMA B,OxA 7299*,4380,70,43.43,-3.66
SILLA DEL MORO,KIK 3880/KIA 28776*,4360,30,36.8,-5.25
LAYAZA,Beta 317863,4360,30,42.58,-2.65
ALTO DE LA HUESERA,Beta 301222,4350,30,42.57,-2.57
EL SOTILLO,Beta 299305,4350,30,42.57,-2.62
PRAIA DAS MAÇAS,OxA 5510*,4395,60,38.82,-9.46
ALTO DE LA HUESERA,Beta 301220,4340,30,42.57,-2.57
MONTE DA TUMBA,ICEN 115,4340,35,38.28,-8.23
CABEZO JURE,Ua 35666*,4340,35,37.56,-7.09
LARRENKE NORTE,I 14590,4400,100,42.68,-2.8
EL NEGRON,UNK 1,4330,35,37.24,-4.94
CASTENAIRAS / CASTONAIRAS,OxA 7435*,4365,50,40.83,-7.76
SANTIAGO- CASTRO DE,ICEN 1257,4350,45,40.65,-7.48
LA PIJOTILLA,Beta 121147,4360,50,38.81,-6.66
BOLA DA CERA,ICEN 66,4360,50,39.39,-7.36
LOS MILLARES- TUMBA 19,KN 72,4380,120,36.9,-2.52
MANDUBI-ZELAIA,GrA 16943*,4345,45,43.09,-2.25
LECEIA,ICEN 674,4370,60,38.73,-9.28
MONTE CANELAS 1,OxA 5515*,4370,60,37.15,-8.15
OLELAS,ICEN 939,4360,60,38.45,-9.15
COVÃO DO POÇO,Beta 134407,4360,60,39.53,-8.77
EL PRADO,Beta 7072,4350,50,38.62,-1.32
MURGANHO 2,ICEN 905,4330,45,40.52,-7.82
KANPANOSTE GOIKOA,GrN 20267,4350,60,42.76,-2.48
ARRUDA- CABEÇO DE,Beta 123363*,4370,70,39.06,-9.29
ORCA DA PENELA 1,GrA 9256*,4320,50,40.51,-8.02
LA CAPELLANIA,Ly 4421,4340,100,36.9,-4.18
EL PRADO,AA 4237*,4340,60,38.62,-1.32
LACILLA 2,Ua 44279*,4335,60,43.27,-3.16
FURNINHA,OxA 5505*,4335,65,39.36,-9.4
LARRENKE NORTE,0,4300,100,42.68,-2.8
LECEIA,ICEN 1158,4320,60,38.73,-9.28
PARQUE DE MIRAFLORES,KIA 24925*,4327,24,37.42,-5.96
ALTO DE LA HUESERA,Beta 301221,4320,30,42.57,-2.57
ALTO DE LA HUESERA,Beta 301223,4320,30,42.57,-2.57
ALTO DE LA HUESERA,Beta 321416,4320,30,42.57,-2.57
SAO PEDRO,KIA 33864*,4308,98,38.65,-7.55
TERRERA VENTURA,I 7419,4305,95,37.05,-2.4
MONTE DOS REMEDIOS,Ua 32668*,4315,25,42.27,-8.76
LIBRILLA- RAMBLA DE,Ly 7151,4305,55,37.87,-1.33
OLIVAL DA PEGA 2B,ICEN 955,4290,100,38.45,-7.4
MANDUBI-ZELAIA,GrA 18785*,4300,50,43.09,-2.25
TERRERA VENTURA,I 7414,4295,95,37.05,-2.4
ESCOURAL- POVOADO DO,ICEN 1034,4340,70,38.6,-8.24
CARNEIRA,ICEN 420,4280,100,39.35,-8.93
MONTE DA TUMBA,UGRA 234,4280,100,38.28,-8.23
PORTO TORRAO,ICEN 55,4290,50,38.08,-8.13
SAN JUAN ANTE PORTAM LATINAM,Ua 10357*,4325,70,42.55,-2.56
OLELAS,ICEN 346,4350,150,38.45,-9.15
ALMIZARAQUE,CSIC 672,4310,60,37.26,-1.79
PONTA DA PASSADEIRA,OxA 6389*,4305,70,38.68,-9.04
OS CAMPI—OS 6,GrN 14328,4300,60,42.67,-8.77
VALENCINA DE LA CONCEPCION,Ua 36025*,4295,55,37.42,-6.08
ALMIZARAQUE,IRPA 1082,4290,60,37.26,-1.79
PORTO TORRAO,ICEN 56,4300,80,38.08,-8.13
LOS MILLARES- POBLADO,H 204/247,4295,85,36.97,-2.52
ALTO DE LA HUESERA,Beta 301224,4300,30,42.57,-2.57
ALMIZARAQUE,UGRA 170,4300,90,37.26,-1.79
ROMEA- MONTE DA,Ua 20003*,4265,50,42.65,-8.14
KATILLOTXU 5,Beta 259127*,4290,90,43.4,-2.72
ERAS DEL ALCAZAR,Beta 229718*,4270,60,38.01,-3.37
TERRERA VENTURA,I 6935,4265,90,37.05,-2.4
TERRERA VENTURA,I 7417,4265,95,37.05,-2.4
ESCOURAL- POVOADO DO,ICEN 609,4260,90,38.6,-8.24
NERJA- CUEVA DE,Ua 12466*,4260,70,36.76,-3.84
TERRERA VENTURA,I 7421,4250,95,37.05,-2.4
TERRERA VENTURA,I 7423,4250,95,37.05,-2.4
ESCOURAL- POVOADO DO,ICEN1033,4260,60,38.6,-8.24
PRAIA DAS MAÇAS,H 2049/1487,4260,60,38.82,-9.46
PAIMOGO 1,Sac 1556,4250,90,39.29,-9.34
CASTELO DE MATOS 1,ICEN 300,4230,80,41.17,-7.98
EL NEGRON,UNK 1,4300,35,37.24,-4.94
ERAS DEL ALCAZAR,Ua 34704*,4300,35,38.01,-3.37
ERAS DEL ALCAZAR,Ua 34715*,4300,35,38.01,-3.37
JUNTA DE LOS RIOS,Beta 172040,4210,80,37.56,-6.71
DOMBATE,CSIC 892,4230,70,43.19,-8.97
ALTO DE LA HUESERA,Beta 301226,4290,30,42.57,-2.57
YURKINAS 2- CUEVA DE LAS,Beta 137895,4290,40,42.63,-2.7
REGO DA MURTA 2,Beta 190004*,4290,40,39.77,-8.37
VALE DE LOBOS,Beta 220074,4290,40,38.79,-9.28
SAN MIGUEL DE IRURA,0,4275,35,43.17,-2.87
TERRERA VENTURA,CSIC 264,4240,60,37.05,-2.4
TORCA L'ARROYU,UBAR 804,4240,60,43.41,-5.84
LOS MILLARES- POBLADO,Beta 124526,4220,70,36.97,-2.52
LOS MILLARES- POBLADO,Beta 124523,4220,70,36.97,-2.52
LOS MILLARES- POBLADO,Beta 124527,4220,70,36.97,-2.52
CASAL DO PENEDO,Beta 229585,4280,40,38.88,-9.08
CASAL DO PENEDO,Beta 234134,4280,40,38.88,-9.08
SANTA MARGARIDA 3- HERDADE DE,Beta 176897*,4290,40,38.44,-7.44
SANTA MARGARIDA 3- HERDADE DE,Beta 166422*,4270,40,38.44,-7.44
SANTA MARGARIDA 3- HERDADE DE,Beta 166416*,4270,40,38.44,-7.44
CARCAVELOS,Beta 208158,4270,40,38.89,-9.22
CHAO SAMARTIN,CSIC 1645,4269,37,43.2,-6.93
SAN CRISTOBAL,Beta 161187,4260,40,42.6,-2.62
CAMINO DEL MOLINO,Beta 244973,4260,40,38.1,-1.86
ARRUDA- CABEÇO DE,UBAR 538,4230,100,39.06,-9.29
HUERTA MONTERO,GrN 16955,4220,100,38.69,-6.43
SAN JUAN ANTE PORTAM LATINAM,Ua 10415*,4200,95,42.55,-2.56
OLIVAL DA PEGA 2B,ICEN 956,4180,80,38.45,-7.4
CASTENAIRAS / CASTONAIRAS,GrA 9312*,4520,50,40.83,-7.76
PENA D'AGUA- ABRIGO DA,Beta 137945,4250,50,39.58,-8.55
ARRUDA- CABEÇO DE,Beta 132975,4240,50,39.06,-9.29
ATALAIA,KN I-200,4240,50,37.68,-8.27
EL NEGRON,UNK 1,4250,35,37.24,-4.94
KANPANOSTE GOIKOA,GrN 22738,4190,100,42.76,-2.48
TERRERA VENTURA,I 8702,4185,95,37.05,-2.4
VALENCINA DE LA CONCEPCION,Ua 36022*,4235,35,37.42,-6.08
LA CAPELLANIA,Ly 4422,4180,100,36.9,-4.18
ZARRA DE XOACÕN,CSIC 1857,4232,33,42.64,-8.13
MONTE DOS REMEDIOS,Ua 33140*,4240,40,42.27,-8.76
POÇO VELHO,OxA 5533*,4245,55,38.7,-9.42
EL TRUCHIRO,AA 45568*,4242,56,42.43,-3.66
PAREDE,Beta 188388,4230,40,38.69,-9.35
PAREDE,Beta 190859,4230,40,38.69,-9.35
PÉ DE ERRA,ICEN 587,4220,45,39.79,-8.67
EL TARAJAL,CSIC 227,4230,50,36.85,-2.21
PARAJE DE MONTE BAJO,Beta 233956*,4220,40,36.39,-5.73
EL PRADO,Beta 7073,4230,60,38.62,-1.32
PORTO TORRAO,ICEN 61,4230,60,38.08,-8.13
DOLMEN DE LA PALOMA,Beta 150153,4220,40,37.67,-6.72
EL PRADO,AA 4238*,4220,60,38.62,-1.32
VALENCINA DE LA CONCEPCION,Ua 32886*,4215,40,37.42,-6.08
SAO LOURENCO,ICEN 787,4220,50,41.82,-7.36
LECEIA,Sac 1317,4220,50,38.73,-9.28
ALMIZARAQUE,IRPA 1084,4210,60,37.26,-1.79
CHIBANES,Beta 162911,4210,60,38.56,-8.01
CIAVIEJA,I 15011,4170,100,36.78,-2.8
LA VENTA,Beta 150157,4200,70,37.67,-6.71
PORTO TORRAO,ICEN 60,4200,70,38.08,-8.13
LECEIA,ICEN 89,4200,70,38.73,-9.28
PORTO DAS CARRETAS,Beta 196682*,4200,70,38.42,-7.35
LOS MILLARES- POBLADO,Beta 124531*,4200,60,36.97,-2.52
TERRERA VENTURA,CSIC 265,4200,60,37.05,-2.4
LOS GITANOS- CUEVA DE,AA 29111*,4200,65,43.36,-3.25
ZAMBUJAL,KIA 27559,4238,29,39.07,-9.29
AS ROZAS,CSIC 1131,4219,32,42.57,-8.56
PEDRA DOS MOUROS,Beta 228582,4210,50,38.77,-9.27
SANTIAGO- CASTRO DE,ICEN 907,4210,45,40.65,-7.48
SALA 1,ICEN 448,4140,100,38.11,-7.64
ERAS DEL ALCAZAR,Ua 21453*,4210,45,38.01,-3.37
EL TARAJAL,CSIC 222,4200,50,36.85,-2.21
REQUE¡N,CSIC 898,4200,50,42.96,-7.98
PARAJE DE MONTE BAJO,Beta 233955,4210,40,36.39,-5.73
ERAS DEL ALCAZAR,Beta 229717*,4210,40,38.01,-3.37
REGO DA MURTA 2,Beta 190007*,4190,50,39.77,-8.37
CARRIL DE CALDEROS,KIK 2746/KIA 20887*,4200,30,37.68,-1.69
DOMBATE,CSIC 948,4200,30,43.19,-8.97
ZAMBUJAL,GrN 7009,4200,40,39.07,-9.29
LA GARMA A,OxA 7272*,4200,35,43.43,-3.66
SANTA VITORIA,ICEN 1250,4180,60,39,-7.09
TERRERA VENTURA,KN 1796,4180,60,37.05,-2.4
PARQUE DE MIRAFLORES,KIA 24927*,4190,28,37.42,-5.96
VALENCINA DE LA CONCEPCION,Ua 36029*,4180,35,37.42,-6.08
GATAS,Beta 92590,4170,60,37.13,-1.88
FONTAINHAS,TO 358*,4170,60,39.22,-9.03
MONTE DA TUMBA,ICEN 117,4180,30,38.28,-8.23
LAMEIRA,Wk 18503,4174,32,38.58,-7.28
ERAS DEL ALCAZAR,Ua 34713*,4175,35,38.01,-3.37
MOINHO DE VALADARES,OxA 12714*,4167,30,38.33,-7.37
ANGERINHA- MONTE DA,KIA 33229*,4158,31,38.35,-8.05
LECEIA,ICEN 673,4130,100,38.73,-9.28
CIAVIEJA,I 15009,4130,100,36.78,-2.8
ALMIZARAQUE,UGRA 163,4120,100,37.26,-1.79
EL GARCEL,SUA 1173,4120,100,37.24,-1.88
ESCOURAL- POVOADO DO,ICEN 608,4120,100,38.6,-8.24
PRAIA DO FORTE NOVO,Sac 1606,4150,80,37.06,-8.09
SAN CRISTOBAL,0,4190,40,42.6,-2.62
La GARMA D,AA 45579*,4185,48,43.43,-3.67
ESTANQUE,Wk 17091,4182,39,38.77,-8.19
LA GARMA A,OxA 7151*,4180,45,43.43,-3.66
MONTE ABRA√O,Beta 228580,4180,40,38.77,-9.27
ERAS DEL ALCAZAR,Ua 34711*,4180,40,38.01,-3.37
MALHOEIRA- CABE«O DE,ICEN 1085,4180,50,40.23,-7.26
EL PRADO,Beta 7071,4180,50,38.62,-1.32
ESTRIA,Beta 208950,4180,50,38.77,-9.27
AS CRUCES/REBORICA,UtC 4003*,4170,44,43.19,-7.97
SAN CRISTOBAL,0,4170,40,42.6,-2.62
EL PRADO,Beta 7070,4170,50,38.62,-1.32
LECEIA,ICEN 1173,4170,50,38.73,-9.28
SANTA MARGARIDA 3- HERDADE DE,Beta 176896*,4170,40,38.44,-7.44
FOLHA DE BARRADAS,Beta 234135,4170,40,38.83,-9.33
ERAS DEL ALCAZAR,Beta 229716*,4170,50,38.01,-3.37
CABEZO JURE,Ua 22808*,4165,45,37.56,-7.09
SAO PEDRO,KIA 33867*,4160,34,38.65,-7.55
SAO PEDRO,KIA 33863*,4163,37,38.65,-7.55
EL TARDON,UGRA 260,3530,60,36.96,-4.54
EL TARDON,GrN1 16066,3745,25,36.96,-4.54
BURACO DA PALA,CSIC 867,4170,55,41.46,-7.29
EL CAPIT¡N,Beta 26611,4140,140,37.8,-1.87
LA PIJOTILLA,CNA 034*,4168,55,38.81,-6.66
ZAMBUJAL,GrN 6671,4170,60,39.07,-9.29
POÇO VELHO,Beta 244393,4160,50,38.7,-9.42
ZAMBUJAL,KIA 27561,4155,32,39.07,-9.29
ERAS DEL ALCAZAR,Ua 34714*,4155,40,38.01,-3.37
SAO PEDRO,KIA 33868*,4152,36,38.65,-7.55
LA RASA 2,AA 29642*,4165,55,43.4,-3.91
LOS MILLARES- POBLADO,BM 2343,4150,40,36.97,-2.52
ARQUINHA DA MOURA,GrA 9573*,4160,50,40.51,-8.01
MONTE DOS REMEDIOS,Ua 33143,4150,40,42.27,-8.76
CASAINHOS,Beta 225168,4150,40,38.88,-9.17
ERAS DEL ALCAZAR,Ua 34703*,4150,35,38.01,-3.37
POÇO VELHO,Beta 244390,4150,40,38.7,-9.42
BOLORES,Beta 249032,4150,40,39.08,-9.29
PORTO DAS CARRETAS,Beta 204061*,4150,40,38.42,-7.35
AMEAL VI,OxA 5436*,4155,55,40.44,-7.95
MALHADA,Beta 126091,4140,80,40.68,-7.47
PALACIO QUEMADO,HAR 8249,4140,80,38.7,-6.3
POÇO VELHO,Beta 178464,4150,40,38.7,-9.42
VALENCINA DE LA CONCEPCION,Ua 19475*,4150,50,37.42,-6.08
BURACO DA PALA,ICEN 418,4140,40,41.46,-7.29
CASTELO 1- MAMOA DO,CSIC 1814,4136,33,41.48,-7.4
BURACO DA PALA,ICEN 934,4110,120,41.46,-7.29
CASTANHEIRO DO VENTO,Ua 20455*,4145,45,41.06,-7.32
PARQUE DE MIRAFLORES,KIA 24924*,4133,39,37.42,-5.96
ZAMBUJAL,KIA 27558,4129,31,39.07,-9.29
ANGERINHA- MONTE DA,KIA 33227*,4130,26,38.35,-8.05
ERAS DEL ALCAZAR,Beta 229722*,4130,60,38.01,-3.37
ZAMBUJAL,GrN 7664,4140,90,39.07,-9.29
LECEIA,ICEN 91,4130,60,38.73,-9.28
OLIVAL DA PEGA 2B,ICEN 957,4130,60,38.45,-7.4
VALE DA CERVA,GrA 8402,4140,50,41.03,-7.11
CABEZO JURE,Ua 35662*,4125,30,37.56,-7.09
VALENCINA DE LA CONCEPCION,Ua 24557*,4135,45,37.42,-6.08
LA PIJOTILLA,Beta 121143,4130,40,38.81,-6.66
ZAMBUJAL,KIA 7260,4134,43,39.07,-9.29
CARCAVELOS,Beta 225170,4130,40,38.89,-9.22
BITARADOS,AA 63067*,4125,51,41.56,-8.75
CHA DE PARADA 1,ICEN 409,4130,45,41.2,-8.01
CABEZO JURE,Ua 39862*,4115,31,37.56,-7.09
BARROCAL ALTO,CSIC 727,4119,60,41.27,-6.55
CASTELO VELHO,Sac 1518,4130,80,41.07,-7.19
PEDRA BRANCA,ICEN 1041,4120,60,38.15,-8.67
PARQUE DE MIRAFLORES,KIA 24926*,4109,28,37.42,-5.96
BURACO DA PALA,ICEN 311,4120,50,41.46,-7.29
MIR”N- CUEVA DEL,GX 22130*,4120,50,43.25,-3.45
MONTENEGRO,Ua 23591*,4125,40,42.31,-8.74
PRAGANÇA,ICEN 573,4120,50,39.26,-9.09
BITARADOS,AA 63066*,4122,43,41.56,-8.75
VALENCINA DE LA CONCEPCION,Ua 32885*,4120,40,37.42,-6.08
CASTANHEIRO DO VENTO,Ua 18039*,4140,75,41.06,-7.32
EL TARAJAL,CSIC 228,4110,50,36.85,-2.21
MONTENEGRO,Ua 23589*,4120,40,42.31,-8.74
RORTURA,OxA 5538*,4110,50,38.53,-8.92
ERAS DEL ALCAZAR,Ua 26014*,4120,40,38.01,-3.37
SAN CRISTOBAL,0,4100,30,42.6,-2.62
ALTO DE LA HUESERA,Beta 321420,4100,30,42.57,-2.57
BURACO DA PALA,ICEN 597,4090,130,41.46,-7.29
LA PIJOTILLA,Beta 121146*,4110,40,38.81,-6.66
AGUALVA,Beta 239754,4110,40,38.77,-9.3
ALAPRAIA 4,Beta 178461,4110,40,38.71,-9.38
VALENCINA DE LA CONCEPCION,Ua 32042*,4105,40,37.42,-6.08
CARRIL DE CALDEROS,KIK 2748/KIA 20889*,4105,40,37.68,-1.69
EL TARAJAL,CSIC 219,4100,50,36.85,-2.21
MONTE AREO 22,UtC 7221,4103,43,43.52,-5.78
VALENCINA DE LA CONCEPCION,Ua 36028*,4105,40,37.42,-6.08
SAO PEDRO,KIA 33866*,4103,37,38.65,-7.55
ERAS DEL ALCAZAR,Ua 34710*,4100,35,38.01,-3.37
CASTANHEIRO DO VENTO,Ua 22460*,4095,50,41.06,-7.32
A GANDARA,CSIC 1265,4095,32,42.16,-8.65
FLORIDABLANCA- CALLE,KIK 977/ UtC 7939*,4100,35,37.68,-1.7
SANTA MARGARIDA 3- HERDADE DE,Beta 166423*,4100,40,38.44,-7.44
PENEDO DE LEXIM,Beta 175774,4100,40,38.89,-9.18
PORTO COVO,Beta 245135,4100,40,38.75,-9.42
