Site,LABNR,C14AGE,C14STD,Lat,Lon
FURNAS 2,CSIC 775,5270,70,41.2,0.02
PAU 10- ALTO DA PORTELA DO,Sac 1490,5259,70,42.07,-8.1
PAU 1- ALTO DA PORTELA DO,Sac 1479,5240,45,42.07,-8.1
CUEVA DEL TORO,GrN 15436,5250,60,36.96,-4.54
MONTE AREO 5,UtC 9320,5239,43,43.54,-5.76
ILLADE,GrN 19210,5240,60,43.47,-7.88
FURNAS 1,CSIC 777,5250,70,41.21,-8.02
SIERRA PLANA DE LA BORBOLLA,OxA 6914*,5230,50,43.39,-4.61
CHA DE PARADA 3 ,ICEN 891,5240,70,41.2,-8.01
CUEVA DEL TORO,Beta 174306,5240,70,36.96,-4.54
CRUZ 1- CHAN DA,CSIC 642,5210,50,42.38,-8.65
CABRAS,ICEN 1266,5220,60,41.2,-8.05
CABRAS,ICEN 1267,5220,60,41.2,-8.05
FUENTE HOZ,I 11588,5240,110,42.81,-2.91
CUEVA DE LAS PALOMAS,UGRA 162,5240,110,36.98,-4.88
KOBAEDERRA,UBAR 472,5200,110,43.34,-2.62
CHA DE PARADA 3 ,ICEN 890,5240,90,41.2,-8.01
COTOGRANDE 1,GrN 17698,5230,80,42.22,-8.64
OUTEIRO DE GREGOS 3,KN 2766,5230,75,41.18,-8.04
CASTELO DE MATOS 3,ICEN 303,5210,40,41.17,-7.98
CUEVA DEL TORO,GrN 15437,5200,60,36.96,-4.54
CUEVA DEL TORO,GrN 15439,5205,40,36.96,-4.54
OUTEIRO DE GREGOS 3,KN 2765,5200,65,41.18,-8.04
BOHERIZA 3,Ua 3229*,5200,75,43.18,-3.41
KATILLOTXU 5,Beta 259128,5200,40,43.4,-2.72
FRAGA D'AIA,Gif 8090,5190,60,41.06,-7.5
DEVESA DO REI,Ua 20011*,5190,55,42.78,-8.47
PAU 3- ALTO DA PORTELA DO,CSIC 1361,5177,30,42.07,-8.1
MONTE AREO 12,CSIC 1378,5176,30,43.53,-5.78
TOSSAL DE LES BASSES,Beta 225218*,5080,40,38.37,-0.45
LUMENTXA,Ua 12662*,5180,70,43.36,-2.5
AREITA- ORCA DA,GrA 18518*,5170,60,41.05,-7.47
LARRENKE NORTE,0,5210,100,42.68,-2.8
PICOTO DO VASCO,CSIC 1221,5160,42,40.9,-7.81
NERJA- CUEVA DE,UGRA 255,5190,90,36.76,-3.84
VALE DE RODRIGO,0,5175,70,38.52,-8.06
LARRENKE NORTE,0,5180,100,42.68,-2.8
BURACO DA PALA,ICEN 596,5170,70,41.46,-7.29
PICOTO DO VASCO,GrN 22443,5140,40,40.9,-7.81
LOS GITANOS- CUEVA DE,UBAR 521,5150,100,43.36,-3.25
CAMPURRAS / CEREIXO- CHAN DO,Beta 220080,5140,80,42.07,-8.77
MINA DO SIM√O,CSIC 717,5130,90,41.2,-8.03
LUGAR DO CANTO,Sac 1715,5120,80,39.47,-8.87
